NACE Code,NACE Name,BICS Code,BICS Level,BICS Name,NACE_code_covered_EU_taxon,NACE_name_covered_EU_taxon,mapping _sectors_2dii
1,"Crop and animal production, hunting and related service activities",121010,3,Agricultural Producers,1.2,Growing of perennial crops,Automotive 
1,"Crop and animal production, hunting and related service activities",12101013,4,Food Crop Production,1.1,Growing of non-perennial crops,Cement 
1.11,"Growing of cereals (except rice), leguminous crops and oil seeds",1210101312,5,Grain Farming,1.4,Animal production,Steel 
1.11,"Growing of cereals (except rice), leguminous crops and oil seeds",121010131210,6,Corn Farming,2,Forestry and logging,Aviation 
1.11,"Growing of cereals (except rice), leguminous crops and oil seeds",121010131212,6,Wheat Farming,23.51,Manufacture of cement,Shipping 
1.11,"Growing of cereals (except rice), leguminous crops and oil seeds",121010131213,6,Other Grain Farming,24.42, Aluminum production,Oil&Gas
1.11,"Growing of cereals (except rice), leguminous crops and oil seeds",1210101314,5,Oilseed Farming,24.1, Manufacture of basic iron and steel and of ferro-alloys,Coal
1.11,"Growing of cereals (except rice), leguminous crops and oil seeds",121010131410,6,Palm Oil Farming,24.2," Manufacture of tubes, pipes, hollow profiles and related fittings, of steel",Power
1.11,"Growing of cereals (except rice), leguminous crops and oil seeds",121010131411,6,Soybean Farming,24.3, Manufacture of other products of first processing of steel,
1.11,"Growing of cereals (except rice), leguminous crops and oil seeds",121010131412,6,Other Oilseed Farming,24.51, Casting of iron,
1.12,Growing of rice,121010131211,6,Rice Farming,24.52, Casting of steel,
1.13,"Growing of vegetables and melons, roots and tubers",1210101313,5,Mushroom Production,20.11, Manufacture of hydrogen,
1.13,"Growing of vegetables and melons, roots and tubers",1210101317,5,Vegetable Farming,20.13, Manufacture of other inorganic basic chemicals,
1.13,"Growing of vegetables and melons, roots and tubers",121010131710,6,Potato Farming,20.14, Manufacture of other organic basic chemicals,
1.13,"Growing of vegetables and melons, roots and tubers",121010131711,6,Other Vegetable Farming,20.15, Manufacture of fertilizers and nitrogen compounds,
1.14,Growing of sugar cane,1210101315,5,Sugarcane Farming,20.16,Manufacture of plastics in primary form,
1.15,Growing of tobacco,12101310,4,Tobacco Farming,35.11, Production of Electricity from Solar PV,
1.16,Growing of fibre crops,111011121111,6,Cotton Farming,35.11, Production of Electricity from Concentrated Solar Power,
1.19,Growing of other non-perennial crops,1112121112,5,Floriculture Products,35.11, Production of Electricity from Wind Power,
1.2,Growing of perennial crops,1210101311,5,Fruit Farming,35.11, Production of Electricity from Ocean Energy,
1.2,Growing of perennial crops,121010131115,6,Other Noncitrus Fruit Farm,35.11,Production of Electricity from Hydropower,
1.21,Growing of grapes,121010131112,6,Grape Vineyards,35.11,Production of Electricity from Geothermal,
1.23,Growing of citrus fruits,121010131111,6,Citrus Groves excl Oranges,35.11,Production of Electricity from Gas Combustion,
1.23,Growing of citrus fruits,121010131113,6,Orange Groves,35.11,Production of Electricity from Bioenergy,
1.24,Growing of pome fruits and stone fruits,121010131110,6,Apple Orchards,35.13,Transmission and Distribution of Electricity,
1.25,Growing of other tree and bush fruits and nuts,121010131114,6,Strawberry Farming,35.12,Transmission and Distribution of Electricity,
1.25,Growing of other tree and bush fruits and nuts,1210101316,5,Tree Nut Farming,na,Storage of Energy,
1.27,Growing of beverage crops,1210101310,5,Cocoa Farming,35.21,"Manufacture of Biomass, Biogas or Biofuels",
1.29,Growing of other perennial crops,17131011,4,Nursery & Tree Products,35.21,Retrofit of Gas Transmission and Distribution Networks,
1.29,Growing of other perennial crops,17131012,4,Rubber Plantation,35.3,District Heating/Cooling Distribution,
1.4,Animal production,12101011,4,Animal Production & Process,35.3,Installation and operation of Electric Heat Pumps,
1.41,Raising of dairy cattle,121010111011,6,Dairy Cattle & Milk Production,35.3,Cogeneration of Heat/cool and Power from Concentrated Solar Power,
1.42,Raising of other cattle and buffaloes,1210101110,5,Cattle Ranching & Farming,35.11,Cogeneration of Heat/cool and Power from Concentrated Solar Power,
1.42,Raising of other cattle and buffaloes,121010111010,6,Beef Cattle Ranch & Farming,35.3,Cogeneration of Heat/cool and Power from Geothermal Energy,
1.46,Raising of swine/pigs,1210101111,5,Hog & Pig Farming,35.11,Cogeneration of Heat/cool and Power from Geothermal Energy,
1.47,Raising of poultry,1210101112,5,Poultry Farming,35.3,Cogeneration of Heat/cool and Power from Gas Combustion,
1.47,Raising of poultry,1210111213,5,Eggs,35.11,Cogeneration of Heat/cool and Power from Gas Combustion,
1.61,Support activities for crop production,1210101318,5,Support Services - Crop Prod,35.3,Cogeneration of Heat/cool and Power from Bioenergy,
2.1,Silviculture and other forestry activities,17131013,4,Timber Resources,35.11,Cogeneration of Heat/cool and Power from Bioenergy,
2.2,Logging,171310,3,Forestry & Logging,35.3,Production of Heat/cool from Concentrated Solar Power,
2.2,Logging,17131010,4,Logging,35.3,Production of Heat/cool from Geothermal,
3.1,Fishing,1210101211,5,Fishing,35.3,Production of Heat/cool from Gas Combustion,
3.1,Fishing,121010121112,6,Other Marine Fishing,35.3,Production of Heat/cool from Bioenergy,
3.11,Marine fishing,121010121110,6,Finfish Fishing,35.3,Production of Heat/cool using Waste Heat,
3.11,Marine fishing,121010121111,6,Shellfish Fishing,36,"Water collection, treatment and supply",
3.2,Aquaculture,12101012,4,Aquaculture Fishing,36,"Water collection, treatment and supply",
3.2,Aquaculture,1210101210,5,Aquaculture,37,Anaerobic Digestion of Sewage sludge,
3.2,Aquaculture,121010121012,6,Other Aquaculture,38.11,Separate collection and transport of non-hazardous waste in source segregated fractions,
3.21,Marine aquaculture,121010121010,6,Finfish Farm & Fish Hatcheries,38.21,Anaerobic digestion of bio-waste,
3.21,Marine aquaculture,121010121011,6,Shellfish Farming,38.21,Composting of bio-waste,
5,Mining of coal and lignite,131016,3,Coal Operations,38.32,Material recovery from waste,
5,Mining of coal and lignite,13101610,4,Coal Mining,39,Landfill gas capture and energetic utilization,
5,Mining of coal and lignite,1310161010,5,Coal - Surface & Underground,39,Direct Air Capture of CO2,
5,Mining of coal and lignite,131016101010,6,Bitum Coal & Lignite Surface,39,Capture of Anthropogenic Emissions,
5,Mining of coal and lignite,131016101011,6,Bituminous Coal Underground,39,Transport of CO2,
5,Mining of coal and lignite,13101611,4,Other Petroleum & Coal Prods,39,Permanent Sequestration of captured CO2,
5,Mining of coal and lignite,1310161110,5,Anthracite Mining,49.1,Passenger rail transport (interurban),
5.1,Mining of hard coal,17141012,4,Metallurgical Coal,49.2,Freight rail transport,
6,Extraction of crude petroleum and natural gas,131011,3,Exploration & Production,49.31,Public transport,
6,Extraction of crude petroleum and natural gas,13101110,4,Crude Oil & Natural Gas E&P,42.11,Infrastructure for low carbon transport,
6,Extraction of crude petroleum and natural gas,1310111014,5,Negative Royalties,42.12,Infrastructure for low carbon transport,
6,Extraction of crude petroleum and natural gas,13101111,4,Oil & Natural Gas Mkt & Trading,42.13,Infrastructure for low carbon transport,
6,Extraction of crude petroleum and natural gas,13101112,4,Royalty Income - Oil & Gas,na,Passenger cars and commercial vehicles,
6.1,Extraction of crude petroleum,1310111010,5,Crude Oil Production,49.41,Freight transport services by road,
6.1,Extraction of crude petroleum,1310111011,5,Oil Sands Production,49.39,Interurban scheduled road transport,
6.2,Extraction of natural gas,1310111012,5,Natural Gas Liquids Production,50.3,Inland passenger water transport,
6.2,Extraction of natural gas,1310111013,5,Natural Gas Production,50.4,Inland freight water transport,
7.1,Mining of iron ores,171410,3,Steel Raw Material Suppliers,42.91,Construction of water projects,
7.1,Mining of iron ores,17141011,4,Iron Ore Mining,63.11,"Data processing, hosting and related activities",
7.21,Mining of uranium and thorium ores,17151017,4,Uranium,61,Data-driven solutions for GHG emissions reductions,
7.29,Mining of other non-ferrous metal ores,171510,3,Base Metals,62,Data-driven solutions for GHG emissions reductions,
7.29,Mining of other non-ferrous metal ores,17151010,4,Aluminum,63.11,Data-driven solutions for GHG emissions reductions,
7.29,Mining of other non-ferrous metal ores,1715101011,5,Bauxite Mining & Alumina Refin,41,Construction of new buildings,
