Investor.Name,Portfolio.Name,Scenario,ScenarioGeography,Allocation,Year,Sector,Plan.Sec.EmissionsFactor,Scen.Sec.EmissionsFactor
Investor1,Portfolio1,B2DS,Global,PortfolioWeight,2019,Steel,1.8,1.1063532
Investor1,Portfolio1,B2DS,Global,PortfolioWeight,2020,Steel,1.8,1.0608054
Investor1,Portfolio1,B2DS,Global,PortfolioWeight,2021,Steel,1.8,1.0152576
Investor1,Portfolio1,B2DS,Global,PortfolioWeight,2022,Steel,1.8,0.9697098
Investor1,Portfolio1,B2DS,Global,PortfolioWeight,2023,Steel,1.8,0.924162
Investor1,Portfolio1,B2DS,Global,PortfolioWeight,2024,Steel,1.8,0.8786143
Investor1,Portfolio1,B2DS,Global,PortfolioWeight,2025,Steel,1.8,0.8330665
Investor1,Portfolio1,B2DS,Global,PortfolioWeight,2026,Steel,NA,0.7955433
Investor1,Portfolio1,B2DS,Global,PortfolioWeight,2027,Steel,NA,0.7580202
Investor1,Portfolio1,B2DS,Global,PortfolioWeight,2028,Steel,NA,0.7204971
Investor1,Portfolio1,B2DS,Global,PortfolioWeight,2029,Steel,NA,0.682974
Investor1,Portfolio1,B2DS,Global,PortfolioWeight,2040,Steel,NA,0.3663936
Investor1,Portfolio1,B2DS,Global,Ownership,2019,Steel,1.85,1.1449154
Investor1,Portfolio1,B2DS,Global,Ownership,2020,Steel,1.85,1.0977801
Investor1,Portfolio1,B2DS,Global,Ownership,2021,Steel,1.85,1.0506447
Investor1,Portfolio1,B2DS,Global,Ownership,2022,Steel,1.85,1.0035093
Investor1,Portfolio1,B2DS,Global,Ownership,2023,Steel,1.85,0.956374
Investor1,Portfolio1,B2DS,Global,Ownership,2024,Steel,1.85,0.9092386
Investor1,Portfolio1,B2DS,Global,Ownership,2025,Steel,1.85,0.8621032
Investor1,Portfolio1,B2DS,Global,Ownership,2026,Steel,NA,0.8232722
Investor1,Portfolio1,B2DS,Global,Ownership,2027,Steel,NA,0.7844412
Investor1,Portfolio1,B2DS,Global,Ownership,2028,Steel,NA,0.7456102
Investor1,Portfolio1,B2DS,Global,Ownership,2029,Steel,NA,0.7067792
Investor1,Portfolio1,B2DS,Global,Ownership,2040,Steel,NA,0.3791643
